id, title, artist_name, duration_milliseconds, year_recorded
1,The Zookeeper and Her Tiger,"Pouros, Thompson and Weimann",338699,1983
2,"Ready, Set, Die","Kuvalis, Ebert and Schowalter",235546,2015
3,Keyboard For Hire,Breitenberg LLC,418686,1963
4,The Frog Catchers Field Manual,Rice-Graham,244092,2000
5,Covered and Warm,Dax Strosin,331179,2008
6,The Frog Catchers Field Manual,"Crooks, Graham and Carroll",379294,1944
7,The Zookeeper and Her Tiger,Tito Quigley,327673,1988
8,Next Day Previous Night,Cathryn Vandervort,302574,1998
9,Fishing With Chips,Steuber-Armstrong,175723,1943
10,Tomato in the Window,Gulgowski-Harber,347555,1979
11,Keyboard For Hire,Ellis Stoltenberg DDS,405628,1950
12,Walking and Running,Cecilia Prosacco DDS,344762,1946
13,Tomato in the Window,Erich Carter,251014,1963
14,Covered and Warm,Nicholas Schoen,428883,1986
15,Slicker Than Rain,Isabelle Ryan,313330,1962
16,A Year of Walking,"Daniel, Macejkovic and Wiza",434134,1965
17,Walking and Running,Neva Morar,226342,1977
18,Slicker Than Rain,"Bosco, Hilll and Krajcik",269719,1961
19,What Lives on Pluto,Kirlin LLC,156678,1978
20,A Dozen Heros,Brigitte Sauer,318202,1994
21,Keyboard For Hire,Yundt-Labadie,316189,1951
22,"Stop Asking, Just Do",Orlando Cruickshank,405078,1996
23,What Lives on Pluto,Izaiah Huel,206300,1987
24,What Lives on Pluto,Ms. Jaron Jakubowski,421229,1952
25,Burning Water,Ms. Matt Halvorson,200390,2007
26,What Lives on Pluto,Carter LLC,422982,2012
27,Tomato in the Window,Izaiah Kuphal,336236,1975
28,The Zookeeper and Her Tiger,Stamm-Smith,400743,1965
29,Future Discretions,Feeney-Green,350237,1961
30,"Stop Asking, Just Do",Halle Botsford,210288,1997
31,"Stop Asking, Just Do",Kaya Roberts I,222843,2013
32,Free Parking,"Douglas, Batz and Ullrich",252067,1994
33,Future Discretions,"Ortiz, McClure and Tremblay",154582,1996
34,Covered and Warm,Bergnaum-Ritchie,146501,2004
35,Free Parking,Clemens Mayer,447146,1956
36,Walking and Running,Alexanne Quigley,310723,1975
37,Burning Water,Terry Rohan,365974,1980
38,A Year of Walking,Mr. Alfonso Bashirian,147926,1968
39,Covered and Warm,"Hudson, Schiller and Glover",295123,1962
40,Finding a New Sun,Towne-Gleason,456862,2000
41,Candy For Two,"Langosh, Kozey and Rippin",304460,1998
42,Slicker Than Rain,Kallie Walter,438148,1969
43,The Frog Catchers Field Manual,Keagan Jast,291861,1995
44,Walking and Running,Mr. Danny Nicolas,479418,2004
45,The Frog Catchers Field Manual,Rolfson Inc,120317,1945
46,Candy For Two,Justus Kilback,169479,1941
47,Next Day Previous Night,"Muller, Towne and Vandervort",457892,2009
48,A Dozen Heros,Sid Corkery,256202,1964
49,Finding a New Sun,Easter Nitzsche,388674,1969
50,Falling Flags,"Kuhn, Runolfsson and Hegmann",345975,1971
51,What Lives on Pluto,Kristian Herman,329628,1968
52,Falling Flags,"Nikolaus, Mueller and Nicolas",233172,1988
53,Keyboard For Hire,Jameson Brakus,139817,1949
54,Burning Water,Emmerich Inc,305893,1973
55,The Odd Sister,Ms. Albertha Paucek,259494,1943
56,Burning Water,Maribel O'Connell,304909,1967
57,"Stop Asking, Just Do",Stark LLC,247795,1990
58,Free Parking,Stacey Armstrong,300250,1973
59,Walking and Running,Ernestine Auer MD,420774,1967
60,Covered and Warm,"Rolfson, Kuhlman and Hilll",287646,1995
61,Future Discretions,Schmidt-Buckridge,391059,1948
62,Covered and Warm,"Hand, Hoeger and Wisoky",460294,1958
63,Tomato in the Window,Maximilian Thompson,234900,1994
64,"Stop Asking, Just Do",Clint Davis,258739,1995
65,"Stop Asking, Just Do",Raul King,393728,1998
66,Same Way Through,"Becker, Boehm and Wuckert",376734,1951
67,The Odd Sister,Hilpert-Prohaska,230541,1966
68,Same Way Through,Abagail Marvin,243553,1944
69,A Year of Walking,Mills-Rempel,313084,1965
70,Walking and Running,Mr. Brennan McDermott,298384,1972
71,Slicker Than Rain,Funk and Sons,194421,1979
72,The Odd Sister,Mrs. Napoleon Skiles,286487,2010
73,The Frog Catchers Field Manual,Osinski-Schuster,442160,1948
74,The Zookeeper and Her Tiger,Rodriguez-Hermiston,255044,1978
75,Keyboard For Hire,Bradford Ernser,282249,1995
76,Tomato in the Window,Fay Inc,219462,1994
77,Next Day Previous Night,Alverta Reichert,413498,2008
78,No Lonely Stars,Mathilde Bins MD,124888,2014
79,Tomato in the Window,Lemke-Bayer,201791,1952
80,Candy For Two,Fisher and Sons,473356,1999
81,The Zookeeper and Her Tiger,Polly Monahan,300403,2007
82,"Ready, Set, Die",Aniyah Batz,419894,1973
